"id_tree";"species";"x";"y";"z";"dbh_cm";"crown_type";"h_m";"hbase_m";"hmax_m";"rn_m";"rs_m";"re_m";"rw_m";"crown_openness";"crown_lad";"added_to_fill"
702;"fagus";33.9746323552789;47.0392714147303;0;28.32957987;"8E";26;2.1;9;1.75;5.03;4.45;1.63;0.035;0.6;FALSE
526;"pseudotsuga";65.9769971306496;11.9973158645028;0;16.2338042;"8E";15.6;8.3;8.3;2.44;2.53;3.53;1.97;0.035;0.6;FALSE
523;"fagus";62.9941716217573;13.9576097158174;0;24.19155135;"8E";32.1;1;8.2;2.19;4.68;4.35;2.92;0.035;0.6;FALSE
501;"fagus";75.0128921669118;67.990195776985;0;42.97183463;"8E";27.3;1.2;8.2;9.72;6.47;7.2;8.28;0.035;0.6;FALSE
810;"picea";20.0084847524285;35.9651248952285;0;26.41972055;"8E";18.5;2.4;8;1.22;3.13;3;2.42;0.035;0.6;FALSE
612;"fagus";53.9760630354973;37.0156607506821;0;32.1492985;"8E";24.8;3.3;7.5;5.78;6.56;5.72;3.73;0.035;0.6;FALSE
811;"pseudotsuga";14.9681075698688;38.9725486860388;0;19.09859317;"8E";19.5;7.5;7.5;3.12;2.41;2.52;3.65;0.035;0.6;FALSE
2;"picea";174.021733757237;71.9876058062199;0;35.65070725;"8E";29.1;2.2;7.2;3.46;7.76;3.17;4.04;0.035;0.6;FALSE
225;"picea";125.953284973429;10.9509427952201;0;28.96619964;"8E";21.5;2.1;7.2;3.3;2.77;3.43;3.05;0.035;0.6;FALSE
716;"pseudotsuga";26.9773672373625;11.0387397399121;0;19.73521294;"8E";16.7;7.2;7.2;1.28;3.29;3.25;2.22;0.035;0.6;FALSE
1;"picea";180.008198705876;73.9906628245612;0;42.65352475;"8E";31.5;2.6;7;4.13;3.33;3.88;3.59;0.035;0.6;FALSE
622;"fagus";47.9839215602626;6.97245452130682;0;69.0732453;"8E";30;2.5;7;6;7.82;7.24;4.74;0.035;0.6;FALSE
320;"pseudotsuga";118.957155160831;6.98305070428695;0;19.73521294;"8E";20;5.5;7;2.64;2.41;2.35;3.07;0.035;0.6;FALSE
804;"fagus";19.0086592012367;20.9457923911795;0;16.87042397;"8E";16.5;5.1;7;4.82;3.62;2.07;5.4;0.035;0.6;FALSE
803;"fagus";19.0169847735782;18.030328331232;0;15.59718442;"8E";15.4;4.8;7;1.74;4.96;5.6;1.74;0.035;0.6;FALSE
223;"pseudotsuga";134.010168389353;4.99891544126717;0;14.32394488;"8E";13;5.3;7;2.57;1.1;3.11;1.26;0.035;0.6;FALSE
516;"fagus";71.9543796367333;21.9853536285465;0;30.55774907;"8E";17;1.7;6.8;4.56;6.42;5.28;4.84;0.035;0.6;FALSE
505;"fagus";81.9889649188681;60.9649264611927;0;24.82817112;"8E";16.2;1.1;6.8;1.83;8.18;2.25;3.6;0.035;0.6;FALSE
525;"pseudotsuga";70.028523380104;12.9487017220714;0;24.50986124;"8E";17.9;6.7;6.7;2.79;3.26;3.14;2.26;0.035;0.6;FALSE
8;"fagus";181.011430173025;52.984865371874;0;48.06479281;"8E";29.7;1.3;6.5;6.6;5.77;9.5;7.02;0.035;0.6;FALSE
318;"pseudotsuga";107.993890127514;4.94177174019602;0;14.64225476;"8E";14.6;5.6;6.4;2.3;3.18;1.95;3.33;0.035;0.6;FALSE
518;"fagus";67.957348042605;25.9733027801205;0;21.64507226;"8E";15.9;2;6.3;5.34;4.91;4.09;5.21;0.035;0.6;FALSE
604;"fagus";42.0004840924759;63.9651599849807;0;14.32394488;"8E";15.9;0.9;6.2;2.98;3.3;3.83;2.2;0.035;0.6;FALSE
806;"fagus";16.0250768221316;27.975602928249;0;19.41690306;"8E";16.4;3.9;6.1;4.78;3.9;4.42;4.56;0.035;0.6;FALSE
718;"fagus";28.0260109172839;2.95725804206974;0;27.05634033;"8E";22.8;1.4;5.7;6.23;3.41;4.84;3.21;0.035;0.6;FALSE
713;"fagus";36.0401311661815;5.97452114564723;0;14.00563499;"8E";15;3.8;5.4;4.62;4.4;5.25;2.22;0.035;0.6;FALSE
519;"fagus";61.9663418726896;27.9627361346303;0;18.14366351;"8E";10.2;0.5;5.3;3.33;4.2;5.19;2.08;0.035;0.6;FALSE
614;"fagus";46.980690093113;27.978251973994;0;35.96901714;"8E";25.3;1;4.8;5.66;3.85;6.51;4.67;0.035;0.6;FALSE
619;"fagus";46.0100040451165;15.9671001309681;0;16.87042397;"8E";16.4;2.3;4.6;5.71;2.64;6.07;3.94;0.035;0.6;FALSE
805;"fagus";19.9585313183795;27.0332995132348;0;15.59718442;"8E";14.4;3.6;4.5;3.91;3.28;2.88;3.96;0.035;0.6;FALSE
710;"fagus";43.0071214755834;6.93423257555725;0;16.55211408;"8E";19.1;1.8;4.4;2.92;5.1;4.56;2.9;0.035;0.6;FALSE
314;"fagus";106.04835524535;22.0141146966354;0;34.69577759;"8E";25.8;0.3;4.2;7.22;7.41;8.23;4.167;0.035;0.6;FALSE
715;"pseudotsuga";24.0198968806012;14.9301879393461;0;22.91831181;"8E";17.5;3;4.2;3.01;3.59;3.3;2.83;0.035;0.6;FALSE
521;"fagus";65.0127444794624;22.9567965467559;0;19.09859317;"8E";10.3;1;4.2;1;7;0.46;5.22;0.035;0.6;FALSE
416;"fagus";84.010943692531;33.9389833353949;0;33.74084794;"8E";23.7;1;4;3.38;4.78;1.66;7.52;0.035;0.6;FALSE
711;"fagus";41.9637758871521;5.9537072147935;0;20.05352283;"8E";17.6;2.3;4;2.96;8.89;3.46;0.01;0.035;0.6;FALSE
618;"picea";59.0062224701833;9.96057812168908;0;22.91831181;"8E";15.1;1.4;4;3.57;3.35;2.84;3.2;0.035;0.6;FALSE
316;"fagus";111.947401684403;14.9926297319073;0;26.41972055;"8E";13.9;0.7;4;4.87;5.98;3.6;5.79;0.035;0.6;FALSE
719;"fagus";24.9841495317884;3.97070725709301;0;18.4619734;"8E";16;0.8;3.8;5.11;3.32;4.89;1.4;0.035;0.6;FALSE
709;"fagus";37.0062759929008;21.9781633615243;0;17.82535363;"8E";13.3;0;3.8;4.56;5.49;4.57;4.8;0.035;0.6;FALSE
620;"fagus";46.0436847695889;14.9827904191401;0;17.50704374;"8E";16.4;1.5;3.7;5.6;3.36;3.24;6.64;0.035;0.6;FALSE
717;"fagus";27.9624338194035;6.00290377862957;0;16.87042397;"8E";12.5;1.5;3.6;4.8;2.69;4.44;1.6;0.035;0.6;FALSE
404;"picea";88.0000281494243;69.9686545134083;0;14.32394488;"8E";9.3;1.3;3.6;2.85;2.57;2.56;2.93;0.035;0.6;FALSE
14;"fagus";182.979671161575;15.9500705511788;0;48.70141259;"8E";26;1.1;3.5;4.84;6.96;2.38;5.1;0.035;0.6;FALSE
224;"pseudotsuga";133.947348161685;2.97504449207209;0;14.64225476;"8E";14.6;3.5;3.5;2.1;2.61;3.4;2.39;0.035;0.6;FALSE
802;"fagus";11.9879311067216;9.97722926637203;0;19.41690306;"8E";11.9;2;3.5;5.44;2.5;4.76;4.39;0.035;0.6;FALSE
204;"abies";124.989410757348;59.0125797471132;0;16.07464925;"8E";9.3;0;3.5;3.16;3.57;3;3.19;0.035;0.6;FALSE
616;"fagus";60.9612182300079;22.0054106891874;0;21.00845249;"8E";14.2;1.3;3.3;4.09;5.12;2.72;8.21;0.035;0.6;FALSE
706;"fagus";32.9748068040872;32.0199389106813;0;17.82535363;"8E";14.5;0;3.2;4.75;4.57;5.48;4.12;0.035;0.6;FALSE
311;"fagus";120.962104354705;27.9597086537789;0;35.33239737;"8E";20.3;0;2.9;4.78;9.98;8.48;3.63;0.035;0.6;FALSE
527;"picea";63.9538830516673;6.99061940641553;0;17.18873385;"8E";12.5;0;2.9;3.03;2.53;2.53;2.94;0.035;0.6;FALSE
621;"picea";53.999526012096;11.9836922006713;0;17.82535363;"8E";11.6;0.3;2.6;2.88;2.18;2.85;2.44;0.035;0.6;FALSE
221;"picea";134.985395658627;13.0175769114419;0;14.64225476;"8E";10.4;2.5;2.5;3.15;3.71;3.03;2.9;0.035;0.6;FALSE
425;"fagus";88.0261401717681;13.9810726924162;0;20.37183272;"8E";17;1.3;2.4;2.12;5.94;3.75;3.83;0.035;0.6;FALSE
15;"fagus";184.027557971283;12.9381055390914;0;16.55211408;"8E";13.7;0.6;2.3;3.27;4.8;3;4.65;0.035;0.6;FALSE
703;"fagus";30.9672085644687;41.9988942321706;0;28.64788976;"8E";21.1;1;2.1;6.27;4.4;6.85;6.02;0.035;0.6;FALSE
704;"fagus";42.0031331382209;33.0095467139994;0;20.05352283;"8E";11.2;1.8;1.8;3.51;5.65;4.85;0.64;0.035;0.6;FALSE
511;"fagus";65.028260318826;37.9424483263326;0;21.00845249;"8E";8.4;1.3;1.8;5.12;2.6;3.6;3.72;0.035;0.6;FALSE
700;"fagus";20.9848473270214;76.0164259492883;0;44.88169395;"8E";18.4;1;1.6;2.03;4.07;2.22;6.04;0.035;0.6;FALSE
