# Model	: samsara2																																														
# Author	: Benoit Courbaud																																														
# Project	: sam																																														
# Stand date	: 2012																																														
# Initial source	: C:\Users\benoit.courbaud\Capsis4\data\samsara2\DemoFiles\Prenovel\Prenovel01_26_Adrien_Inventory.txt																																														
# File format : 																																															
#    Name	: Chargeur / exporteur d'inventaires Samsara2																																														
#    Class name	: samsara2.extension.ioformat.Samsa2Inventory																																														
#    Version	: 1.0																																														
#    Author	: F. de Coligny																																														
																																															
																																															
# Samsa2InventoryExport																																															
# 																																															
# Key records section																																															
# 																																															
treeRecruitmentDbh = 7.5																																															
date = 2012																																															
cellWidth = 10																																															
plotXMin = 0																																															
plotYMin = 0																																															
plotXMax = 100																																															
plotYMax = 100																																															
plotSlope = 6																																															
plotAspect = 144																																															
bottomAzimut = 270																																															
canopyTop = 40.0																																															
balRadius = 17.0																																															
# D / decomposition 	fresh 	I.1 	I.2 	II 	III 	IV 	V 	VI 	VII 	VIII																																					
< 23 cm	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2																																					
[23-35[ cm	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6																																					
>= 35 cm	0	0	0	0	0	0	0	0	0	0																																					
																																															
#  The TreM file (mandatory) is in the same directory than the inventory file																																															
tremFileName = Prenovel_TREMs.txt																																															
#  Mandatory, a price list file, path relative to the path of the inventory file																																															
priceListFileName = Prenovel_PriceList.txt																																															
#  The Climate file is Mandatory, includes pet, path relative to the path of the inventory file																																															
annualClimateFileName = Prenovel_AnnualClimate.txt																																															
																																															
# Tree records																																															
# 																																															
# Id	speciesId	X	Y	Z	Dbh	H	CBH	CR	Age	Quality	TREM	LifeStage																																			
# 		(m)	(m)	(m)	(cm)	(m)	(m)	(m)	(yr)	(-)	(vector)	(char)																																			
1	1	77.7336	71.0808	7.4709	22.932	14.812	3.3073	3.0204	45	C	(0,0,0,0,0,0,0,1,0,0,0)	alive																																			
2	1	62.5783	65.1864	6.8514	18.2397	12.9612	4.7429	3.0896	36	C	(0,0,0,0,0,0,0,0,0,0,0)	alive																																			
3	1	84.006	95.2483	10.011	22.8472	15.8187	4.9055	2.835	45	C	(0,0,0,0,0,0,0,0,0,0,0)	alive																																			
4	1	58.9521	97.9011	10.2898	19.1539	11.7033	4.205	2.5196	38	D	(0,0,0,0,0,0,0,0,0,0,0)	alive																																			
5	1	33.3423	39.4053	4.1416	19.8852	14.6597	3.8346	2.8208	39	C	(0,0,0,0,0,0,0,0,0,0,0)	alive																																			
6	1	57.5743	2.0656	0.2171	20.1293	16.653	7.686	3.2436	40	C	(0,0,0,0,0,0,0,0,0,0,0)	alive																																			
7	1	22.0596	27.5712	2.8978	21.7811	17.6655	3.379	2.5204	43	B	(0,0,1,0,0,0,0,0,0,0,0)	alive																																			
8	1	64.5713	71.2427	7.4879	19.5362	13.7206	5.5566	2.6191	39	D	(0,0,0,0,0,0,0,0,0,0,0)	alive																																			
